bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-1102_ses-170914idSA197_task-rest_dir-AP_bold	0.00033536960985626284	0.022552363244353182	2	49.08245063135667	1.3919535240493317	0.9782303149845835	0.43617637757367217	7432.0771484375	0.09178620094963098	41	4.209445585215605	1.8785826666666665	1.790768	1.960436	1.884544	0.0119481	-0.020719371736049652	0.030172230675816536	974	88	88	64	6.054327723478542	0.6069999933242798	2.5	2.5	2.5	39.363015035604136	6.661055214958152	22.742778778076172	6.694045543670654	364870.0	1.5004620373249062	101.63388328552236	45.11679458618164	2.6255833064515954	77.06029540022088	573.8504028320312	565.7012329101562	64661.0	446.1088562011719	733.9558715820312	93.43677520751953	40.2513965057442
sub-1102_ses-191010idSA197_task-rest_dir-AP_bold	0.00033524043179587835	0.020370644651619235	4	48.944216122996075	1.369909640874265	0.9932002637524551	0.43185620998558294	8307.748046875	0.09114507177926305	54	5.299313052011776	1.813265333333333	1.741564	1.87746	1.8207719999999998	0.0172686	-0.018807582557201385	0.031724803149700165	1019	88	88	64	6.008537191472934	0.6069999933242798	2.5	2.5	2.5	36.54282730684814	6.0322556278125825	22.167255401611328	6.468105792999268	365692.0	1.7860647439956665	97.6863075256348	43.62724685668945	2.324206161570711	77.57473592830954	587.9895629882812	578.10302734375	63880.0	457.5543746948242	761.3554260253906	96.21285247802734	41.39753082767129
sub-1102_ses-211116idSA197_task-rest_dir-AP_bold	0.00032988753514526714	0.02856955754451734	4	47.596513075403365	1.276445545037524	0.9778116890900549	0.43122607370448507	9002.8193359375	0.09071373744274312	63	5.904404873477039	1.8103053333333332	1.722248	1.877948	1.8307200000000001	0.00575986	-0.016933370381593704	0.02796889841556549	1067	88	88	64	6.212310715490799	0.6069999933242798	2.5	2.5	2.5	32.784077310302536	4.884111508987204	19.002681732177734	5.377694606781006	365810.0	1.6110590696334839	87.4353328704833	37.519866943359375	2.2370943738822806	65.3664785307315	508.891357421875	500.7057189941406	63997.0	399.57114868164064	653.2897705078125	80.59832000732422	34.170814419165254
sub-1103_ses-191022idSA255_task-rest_dir-AP_bold	0.00030290584415584414	0.031887992451298704	4	37.76520122772541	1.0831034641429742	0.9759137837367988	0.4360931016315378	4877.87939453125	0.1835708804870708	491	39.853896103896105	1.9487001188860689	1.787368170456712	2.106268	1.9524641862014949	0.00519311	-0.015513126738369465	0.034651096910238266	1232	88	88	64	6.92289196001622	0.6069999933242798	2.499999761581421	2.5	2.499999761581421	43.759501347974506	8.612812059070666	23.691547393798828	8.227272987365723	370083.0	1.9123376607894897	95.00138168334952	41.44515609741211	2.515669866696232	66.95056624655484	566.707275390625	565.4658813476562	60185.0	437.78619384765625	699.2055053710938	81.6799087524414	34.54533723753411
sub-1141_ses-171018idSA164_task-rest_dir-AP_bold	0.0012892901234567902	0.02182864598765432	4	39.16596175788885	1.1474956255612785	0.9972799030072087	0.4844321018524886	4256.92529296875	0.12379156424549008	121	12.448559670781894	2.072444	1.9337520000000001	2.208124	2.075456	0.00684298	-0.002684431616216898	0.04604119807481766	972	88	88	64	5.965171232114514	0.6069999933242798	2.5	2.5	2.5	16.36869986367239	10.340082116383567	35.04896545410156	9.817900657653809	350341.0	2.2973251342773438	158.2582244873047	61.304386138916016	2.106566979301985	82.00679717452337	639.4371948242188	633.6939086914062	75594.0	472.18794708251954	822.4522888183591	106.23160552978516	35.474204328726046
sub-1141_ses-191105idSA164_task-rest_dir-AP_bold	0.0009071207729468599	0.022492886666666663	4	39.186882229284265	1.1939798305706009	0.9915070599129596	0.48642300246463277	3992.7763671875	0.14329381116634266	255	24.63768115942029	2.015564	1.895328	2.141256	2.010108	0.00654767	-0.00937049649655819	0.04543871432542801	1035	88	88	64	6.0544190066183665	0.6069999933242798	2.5	2.5	2.5	20.365642805893124	10.071668203892823	32.19257736206055	9.197101593017578	349195.0	1.9739129543304443	145.32685699462888	56.846519470214844	2.129900779177592	73.92949269295424	586.6690673828125	577.1826171875	75897.0	443.5447204589844	753.763671875	95.33182525634766	36.653335886774585
sub-1141_ses-220224idSA164_task-rest_dir-AP_bold	0.0004440340909090909	0.023053598768939393	5	39.542823299782	1.158374029952605	0.969903231981044	0.4921752570944499	3908.2802734375	0.14535785393377026	204	19.318181818181817	2.0299946666666666	1.9035879999999998	2.1592759999999998	2.02712	0.00740815	-0.006322805769741535	0.04805856570601463	1056	88	88	64	6.145205694189111	0.6069999933242798	2.5	2.5	2.5	17.813596988653703	10.90470795530622	36.368324279785156	10.040719985961914	348017.0	2.079545497894287	164.56837158203155	64.0807876586914	2.1344907851457764	78.74776892138132	628.7794799804688	621.0360107421875	77183.0	475.43951721191405	805.9910400390625	101.0595932006836	36.04111216356978
sub-1142_ses-171019idSA115_task-rest_dir-AP_bold	0.0009597122302158273	0.028672638026721476	3	44.10034576065849	1.251460023127571	0.9812446517695471	0.4600908269302845	5890.56298828125	0.16452398729442386	269	27.646454265159303	2.033682666666667	1.9239840000000001	2.12004	2.0570239999999997	0.00419357	-0.021519294008612633	0.0377189964056015	973	88	88	64	5.307964706733495	0.6069999933242798	2.5	2.5	2.5	23.11403576704755	7.425201200852867	26.537452697753906	7.372045516967773	356015.0	1.4933196306228638	122.48571777343747	51.01676940917969	3.0434606053266426	82.45128826932924	563.2362670898438	550.3854370117188	72059.0	428.6757568359375	741.7624206542968	103.68976593017578	30.8896960899001
sub-1142_ses-191105idSA115_task-rest_dir-AP_bold	0.0011366785079928953	0.03582886385435169	4	42.64428205706663	1.2151201627911103	0.9896154929688882	0.4547275283363238	8197.4091796875	0.16173999065718603	331	29.396092362344582	1.9771386666666666	1.852472	2.077496	2.001448	0.00382886	-0.01557247992604971	0.04199814796447754	1126	88	88	64	5.887794945235467	0.6069999933242798	2.5	2.5	2.5	22.297472063027598	5.3497445909478145	21.748836517333984	5.752220153808594	355490.0	1.6527531147003174	100.9250907897949	42.80611801147461	2.9461113941856807	68.68292323331457	511.4093017578125	502.19805908203125	72753.0	396.2873962402344	658.9701904296875	85.29417419433594	29.423094700207002
sub-1148_ses-181016idSA243_task-rest_dir-AP_bold	0.0004953038105046343	0.018754804428424306	5	39.81704560125769	1.2435745043505155	0.9859382260206188	0.467951716213015	7567.4033203125	0.06279357567588566	7	0.7209062821833162	1.8434786666666667	1.737724	1.94942	1.843292	0.00603651	-0.022925332188606262	0.03462742641568184	971	88	88	64	5.9186405968972595	0.6069999933242798	2.5	2.5	2.5	23.16951248502779	5.220409118141491	21.85658836364746	5.633368015289307	348746.0	1.8681771755218506	105.16452980041504	43.12870788574219	2.5379967917074016	66.96063335451437	495.42352294921875	488.20599365234375	76944.0	379.29506530761716	642.1751098632812	82.48563385009766	42.43760876450688
